name,capacity,category,descriptionFr,descriptionEn,photoThumbnails,popularityScore,price,subCategories,eanCode,itemHeightRef
IGP OC MERLOT RSE XPIN 75CL,1680.01,wine,,,https://media.carrefour.fr/medias/c09cc82580b24b95ba70c49c24b0cd4f/p_1500x1500/03175520018655_A1C1_s02.png,0,2.6,,3250392336707,0000017410880
IGP OC SAUVIGNON BL CX PIN 75,1585.61,wine,,,https://ruedefrance.com.br/wp-content/uploads/2023/05/IGP-OC-SAUVIGNON-BL-CX-PIN-75-1.jpg,0,2.5,,3250390800996,0000052338202
AOP CHABLIS BLC EXPERT CLUB 75,8185.16,wine,,,https://www.zounko.com/products/3250391594993-expert-club-aop-chablis-blanc-expert-club.jpg,0,13.2,,3250391594993,0000017058346
AOP CTE RHONE RGE TRADITION 75,1704,wine,,,https://media.cdnws.com/_i/370796/556/3089/56/aop-cotes-du-rhone-rouge-cuvee-tradition-2022-75-cl-medaille-or-concours-des-vins-a-orange-2023.png,0,2.8,,3410280017815,0000052341015
MAS GOURGONNIER ROSE TRADITION,5631.09,wine,,,https://produits.bienmanger.com/30947-0w0h0_Mas_Gourgonnier_Cuvee_Tradition_Organic_Rose_Wine_From_Provence.jpg,0,9.9,,3760104593125,0000099024946
IGP VAR DOMAINE DE PELISSE - C,3462.8,wine,,,https://i.f1g.fr/media/ext/704x396_cropupscale/avis-vin.lefigaro.fr/var/img/176/43776-650x330-barons-de-rothschild-credit-emanuele-scorcelletti.jpg,0,6.1,,3760146021358,0000099005261
IGP DES MAURES CUVEE ANE VOLAN,2924.4,wine,,,https://www.hachette-vins.com//uploads/media/vinDuJour/0001/16/6212a6cbd2979ef23c081d15dcf25bc83bcc9cd2.png,0,5.2,,3760057981192,0000099023011
IGP TERRE CAMARGUE ROUGE 75CL,2955.75,wine,,,https://ls.codetech.nl/shops/305710/files/459503832/image.jpg,0,5.3,,3545440110140,0000029500337
COTES DU RHONE PRESTIGE LE SER,3462.45,wine,,,https://www.vignapart.com/2287-superlarge_default/domaine-de-saint-ser-prestige-ros%C3%A9.jpg,0,6.2,,3700025909339,0000099006929
MAS DE LA DAME LA STELE BLANC,6900,wine,,,https://masdeladame.com/wp-content/uploads/2022/03/Stele-Blanc-scaled.jpg,0,12.5,,3464720001001,0000099016133
AOP CTE RHONE RG JOANNES75,1114.89,wine,,,https://media.carrefour.fr/medias/9d122d8c21e73f768970b7aa530bc131/p_1500x1500/3660989256521-0.webp,0,2.0,,3410280017792,0000052341010
IGPOC RG O.CAMBRAS CAB SAUV 75,1702.06,wine,,,https://drhmarket.fr/31820-large_default/cambras-espagne-merlot-cabernet-sauvignon-rouge-75cl.jpg,0,3.2,,3211203420039,0000017110890
AOP BOURG.ALIGOTE EX.CLUB 75CL,3470.69,wine,,,https://static.xtrawine.com/images/products/wines/domaine-de-la-roche-aigue-bourgogna-blanc-auxey-duresse-2020_39315_3.png?h=720&format=webp,0,6.5,,3250390167075,0000052346261
LE GRIS MAS MARIGNAN PRESTIGE,3053.25,wine,,,https://www.petitescaves.com/cdn/shop/files/P4941-2022_360x.jpg?v=1733544814,0,5.8,,3770016080224,0000099020195
AOP CDR PRESTIGE RG 75CL,1716.9,wine,,,https://www.miamland.com/bundles/miamland/images/visuel/3179071000978.webp,0,3.2,,3179071000978,0000052341245
LE MAS  BLANC MARIGNANE,2544.45,wine,,,http://www.les-vignerons-du-quercy.com/preview/new2/MAS-BLC.png,0,4.8,,3538650007058,0000099073088
COTES DU RHONE PERRIN BLANC,5171.73,wine,,,https://cdn.vin.co/_clients_folder/perrin/perrin_perrin_reserve_blanc_2011_macro_jpg_18196_1024.jpg,0,9.9,,3296180000177,0000099005113
IGP MED PLAISIR BLANC,2604.78,wine,,,https://cdn.vin.co/_clients_folder/2287PY1RJ0/A_Cap_med_Blanc_240124_1706188241_640.jpg,0,5.0,,3760092070110,0000099035255
VAL DE L'OULE ROUGE SEDUCTION,5184.91,wine,,,https://images.vivino.com/thumbs/Uw0iMXNWQmiYmORCq6-RqA_150x200.jpg,0,10.0,,3435600000049,0000099088813
AOP MACON VILL.BL EX.CLUB 75CL,4346.73,wine,,,https://drhmarket.fr/42691-medium_default/exp-club-aop-macon-villbl-exclub-75cl.jpg,0,8.4,,3250391325245,0000052346051
COTES DE PROVENCE DOMAINE LES,5144.1,wine,,,https://www.vins-breban.com/images/2023/11/13/domaine-de-paris-rose-cotes-de-provence.png,0,10.0,,3760255430058,0000099087646
COTES DU RHONE SAINTE ROCHE,4512.32,wine,,,https://www.gardine.com/170-large_default/cotes-du-rhone-rouge-chateau-saint-roch.jpg,0,8.8,,3344392118408,0000099003282
MAS DAME LA GOURMANDE BLANC,4757.5,wine,,,https://www.belvibio.com/1141038-product_hd/vin-la-gourmande-bio-blanc-mas-de-la-dame-75cl.jpg,0,9.3,,3464724307512,0000099016136
VCE ROUGE VALRIAN 12  1,1116,wine,,,https://drhmarket.fr/45988-large_default/valrian-vce-rouge-12-15l.jpg,0,2.3,,3250391786909,0000052334210
IGP HERAULT ROSE 75CL,1027.59,wine,,,https://www.vignapart.com/2287-superlarge_default/domaine-de-saint-ser-prestige-ros%C3%A9.jpg,0,2.1,,3250390145349,0000052339100
AOP CTE PROV. BERNE GD RECOLTE,5317.06,wine,,,https://macave.carrefour.fr/processedfiles/cache/detail/uploads/products/sap_1043150.png,0,10.8,,3760033590028,0000017410177
AOC VENTOUX MOT DEXCUSE 2020 R,3118.2,wine,,,https://www.vinatis.com/91207-detail_default/orca-2022-marrenon.png,0,6.4,,3760028200314,0000099035453
AOC CDR RESERVE ROUGE GRAND CH,2439.15,wine,,,https://chateaubeauchene.com/cdn/shop/products/16.jpg?v=1632406168,0,5.1,,3365385001545,0000099066251
MAS DE LA DAMELA STELE RGE,8395,wine,,,https://img.e-boissons.com/picture/product/MDA/les-baux-de-provence-la-stele-rouge-2021-mas-de-la-dame-19604-1-1RCO.png,0,17.4,,3464726107516,0000099016138
BANDOL DOMAINE L'OLIVETTE ROSE,6764.02,wine,,,https://www.nicolas.com/medias/mainProductPicture-ProductDetailsPage-ConversionMediaFormat-null?context=bWFzdGVyfGltYWdlc3w5MzI3M3xpbWFnZS9wbmd8YUdJekwyZzVOaTg1T0RBeE9UVTFORGMxTkRnMkwyMWhhVzVRY205a2RXTjBVR2xqZEhWeVpTMVFjbTlrZFdOMFJHVjBZV2xzYzFCaFoyVmZRMjl1ZG1WeWMybHZiazFsWkdsaFJtOXliV0YwWDI1MWJHd3xmNDM5ODJhYjMxOGFmZTg3YWMyMzExYTQyY2QxNGYwOGU0YmM0ODcyZGI1YzMwMjVhZTMxYWVlNGRhMWZhYjNj,0,14.5,,3458301571120,0000099032689
AOP COST.NIME.RG.E.CLUB 75CL,1661.03,wine,,,https://media.naturalia.fr/media/catalog/product/cache/92d3ef1420f22584d764d2b01ae36138/3/4/3428820000111.1_1.jpg,0,3.7,,3250390261797,0000052340033
IGP MED ROSE STUD MIRAVAL,5295.99,wine,,,https://www.magnumdevin.com/2950-large_default/jeroboam-rose-studio-miraval-igp-mediterranee-2023.jpg,0,11.9,,3296180007794,0000999221454
BIB ROSE TERRE DE CAMARGUE REY,7065.85,wine,,,https://www.lepetitballon.com/cdn/shop/files/69694_53954625-52aa-410b-b63e-e09b0cff4692.jpg,0,16.0,,3545441020417,0000099022053
MAS SAINTE BERTHE LA CHAPELLE,7260,wine,,,https://images.vivino.com/labels/RNUWHZhFRsGzxvtqgku00Q.jpg,0,16.5,,1212121212121,1212121212121
